Date,Open,High,Low,Volume,Close
2000-01-04,19000,20700,18600,2028300,20700
2000-01-05,21000,22500,19500,4091600,20800
2000-01-06,21300,21700,19100,1899300,19700
2000-01-07,20900,21100,20000,2206900,20300
2000-01-10,21500,21600,19750,1931800,20000
2000-01-11,19800,20500,19800,1779000,20000
2000-01-12,20100,20150,19400,1020400,19450
2000-01-13,19500,19800,19000,1245300,19500
2000-01-14,19500,19600,18500,1720400,18500
2000-01-17,19050,19050,18300,2114500,18500
2000-01-18,18500,18500,17600,2558700,17800
2000-01-19,17400,17500,16100,2608400,16100
2000-01-20,15850,16250,14950,2730900,16200
2000-01-21,15900,17400,15500,2835700,16200
2000-01-24,15800,16800,15800,2175700,16000
2000-01-25,15700,16150,15500,1751200,15500
2000-01-26,15500,16100,15300,2038000,15950
2000-01-27,16500,17300,16200,3341400,17150
2000-01-28,17150,17450,16500,2096800,16800
2000-01-31,16600,17350,16400,1725800,17100
2000-02-01,17500,17700,16700,1815100,17000
2000-02-02,17000,18750,16700,4041700,18300
2000-02-03,18500,18800,17650,4235500,18550
2000-02-04,18550,18550,18550,0,18550
2000-02-07,18100,18750,18050,2104800,18500
2000-02-08,18500,19050,18100,2110200,18100
2000-02-09,18000,18250,16800,2244100,17000
2000-02-10,16700,17200,16300,3117200,16350
2000-02-11,16400,16850,15600,2220300,15650
2000-02-14,15200,15500,14600,1836400,14650
2000-02-15,14200,14550,13750,2240500,13750
2000-02-16,14000,14300,13150,2142500,14000
2000-02-17,14400,14900,14000,3180400,14500
2000-02-18,14300,14500,13700,1959000,13700
2000-02-21,13700,13700,12350,2101200,12350
2000-02-22,12050,12550,11650,2215000,12200
2000-02-23,12550,13900,12400,2683000,13300
2000-02-24,13200,13250,12400,1340400,12500
2000-02-25,12150,13900,11850,2855800,12900
2000-02-28,12100,12500,11800,1612000,11850
2000-02-29,12300,12650,11850,2117400,12050
2000-03-01,12050,12050,12050,0,12050
2000-03-02,12550,13450,12350,3646200,13200
2000-03-03,13200,13950,12800,3028800,13500
2000-03-06,13900,15500,13550,4842600,15500
2000-03-07,15600,15750,14300,4832700,15000
2000-03-08,14150,15700,14150,3426300,15000
2000-03-09,15000,15200,14050,2322800,14050
2000-03-10,14500,14600,13550,2108500,13600
2000-03-13,13400,13400,12600,2207100,12600
2000-03-14,12600,13150,12600,1555300,12950
2000-03-15,12500,12850,12300,1080200,12700
2000-03-16,13100,13700,12700,1753600,13200
2000-03-17,14300,14300,13750,3172100,13900
2000-03-20,13900,14300,13600,1357800,14000
2000-03-21,13900,13950,13500,1003800,13700
2000-03-22,14000,14650,13800,1492800,14000
2000-03-23,14000,14200,13550,1079100,13600
2000-03-24,13900,15000,13500,2057900,14400
2000-03-27,14000,14500,13550,1983400,14400
2000-03-28,14000,14600,14000,2132000,14150
2000-03-29,14000,14400,13850,2056400,14000
2000-03-30,14000,14500,13650,3234000,14000
2000-03-31,13600,13800,13300,1987600,13400
2000-04-03,13300,13950,13000,1626300,13400
