#Date,Open,High,Low,Volume,Close
2004-11-05,15950,16350,15700,2311700,16200
2004-11-08,16300,16450,16100,812500,16200
2004-11-09,16200,16450,16050,828600,16400
2004-11-10,16500,17100,16500,1564200,17000
2004-11-11,17100,17150,16750,762100,16950
2004-11-12,17050,17350,16900,461200,17050
2004-11-15,16850,17150,16650,520700,16650
2004-11-16,16600,16950,16300,414300,16300
2004-11-17,16450,17150,16450,987700,16900
2004-11-18,16500,16850,15800,870600,15800
2004-11-19,16100,16450,16000,571900,16150
2004-11-22,16100,16100,15550,466600,16000
2004-11-23,15950,16200,15550,553900,16000
2004-11-24,16000,16350,15600,754500,16350
2004-11-25,16350,16500,15900,3687900,15950
2004-11-26,16150,16400,15450,7432200,15450
2004-11-29,15400,15650,15300,5089300,15600
2004-11-30,15700,16350,15500,912900,16050
2004-12-01,16200,16900,16200,2266600,16500
2004-12-02,16900,17150,16700,958300,17000
2004-12-03,17400,17800,16650,1110600,17000
2004-12-06,17000,17000,16500,369000,16550
2004-12-07,16850,16900,16200,400100,16200
2004-12-08,16200,16550,16200,1000100,16200
2004-12-09,16400,16600,16200,1128200,16200
2004-12-10,16300,16700,15200,1259700,15650
2004-12-13,15650,15800,15300,341800,15450
2004-12-14,15300,15550,14750,754700,15550
2004-12-15,15400,16200,15350,4535400,16000
2004-12-16,16000,16950,15850,1004000,16800
2004-12-17,16850,17200,16250,680900,16950
2004-12-20,16700,17150,16350,679300,16500
2004-12-21,16500,16800,16300,289200,16500
2004-12-22,16500,16600,16150,363600,16200
2004-12-23,16200,16350,15850,336900,16100
2004-12-24,16300,16500,16100,1816900,16250
2004-12-27,16050,16450,16050,222600,16450
2004-12-28,16300,16650,16200,308000,16650
2004-12-29,16200,16750,16200,395900,16500
2004-12-30,16700,17050,16500,406700,16900
2004-12-31,16900,16900,16900,0,16900
2005-01-03,17450,18000,17350,810200,17650
2005-01-04,17600,18200,17400,1680500,17950
2005-01-05,17850,18950,17700,1574000,18500
2005-01-06,18300,18700,17750,1567200,17750
2005-01-07,17800,18150,17650,776500,18000
2005-01-10,18300,19000,17800,1437700,18900
2005-01-11,18950,19400,18700,1177100,19000
2005-01-12,19200,19500,18750,1055300,19000
2005-01-13,19200,19350,18700,3828300,19250
2005-01-14,19250,20150,19050,750600,20000
2005-01-17,20100,20550,19750,815200,20100
2005-01-18,20200,21700,20000,1718700,21500
2005-01-19,21450,21450,20550,949300,20650
2005-01-20,20350,20400,19650,1429100,19850
2005-01-21,19850,20100,19450,725400,20000
2005-01-24,19600,20000,19500,502000,19700
2005-01-25,19550,19700,18850,598500,18850
2005-01-26,18850,19450,18850,614100,19000
2005-01-27,19250,19550,19100,492700,19250
2005-01-28,19550,20350,19550,651300,19900
2005-01-31,20000,20100,19700,628700,20000
2005-02-01,19950,20200,19450,366800,19450
2005-02-02,19400,19850,19400,507400,19700
2005-02-03,19700,19950,19400,412400,19600
2005-02-04,19550,20000,19250,438200,19950
2005-02-07,20150,20750,20050,745600,20500
2005-02-08,20500,20500,20500,0,20500
2005-02-09,20500,20500,20500,0,20500
2005-02-10,20500,20500,20500,0,20500
2005-02-11,20500,20850,20150,668100,20700
2005-02-14,20800,21600,20800,855900,21150
2005-02-15,21000,22000,20650,964600,21750
2005-02-16,21900,23050,21850,1157300,23000
2005-02-17,23000,24150,22900,1586600,23500
2005-02-18,23900,25200,23200,1718900,25200
2005-02-21,28950,28950,28200,4618300,28950
2005-02-22,29500,30700,27650,4662400,29000
2005-02-23,28000,28500,25800,2658500,26000
2005-02-24,26250,27200,25800,2396700,26500
2005-02-25,26100,27200,26100,1932000,26850
2005-02-28,27500,28350,27500,1912700,28000
2005-03-01,28000,28000,28000,0,28000
2005-03-02,27900,28000,27000,1603100,27350
2005-03-03,27350,28100,27350,1100500,27800
