Date,Open,High,Low,Volume,Close
2004-07-23,31050,33800,29500,2961400,32750
2004-07-26,33000,34200,32750,1063200,33550
2004-07-27,33450,33500,32250,535700,33300
2004-07-28,33750,33900,33400,479100,33800
2004-07-29,33300,33600,33100,189300,33250
2004-07-30,33300,33750,33200,180100,33400
2004-08-02,32550,33000,31750,205400,32450
2004-08-03,32000,32150,30750,349800,31800
2004-08-04,31350,32050,31100,236000,31800
2004-08-05,32500,33800,32300,466400,33750
2004-08-06,33350,34600,33300,616200,34500
2004-08-09,33900,34350,33200,227500,34150
2004-08-10,34000,34650,34000,202300,34650
2004-08-11,34850,36150,34850,887700,35500
2004-08-12,35100,35450,34800,387900,35200
2004-08-13,34700,35350,34350,388900,35000
2004-08-16,34900,35000,34000,166000,34450
2004-08-17,34750,35050,34450,135800,34900
2004-08-18,35000,36350,34800,589400,36100
2004-08-19,36150,38550,35950,1083000,37900
2004-08-20,37600,37600,36650,610500,36900
2004-08-23,36900,37350,36000,331500,36150
2004-08-24,36200,37050,35200,662000,36600
2004-08-25,36400,36900,35850,366300,36250
2004-08-26,36450,37150,36450,465900,36900
2004-08-27,37200,37250,36350,368600,36650
2004-08-30,36400,36850,34200,1052700,34600
2004-08-31,34100,34750,33900,453600,34250
2004-09-01,34250,35000,34100,403300,34900
2004-09-02,34550,34800,34400,235200,34500
2004-09-03,34600,34750,33400,448900,33500
2004-09-06,33100,33400,32600,331500,33100
2004-09-07,33300,33400,32800,288800,32900
2004-09-08,32600,33600,32600,258000,33150
2004-09-09,33050,33400,32750,239400,33100
2004-09-10,33350,35500,33200,773600,35500
2004-09-13,35500,35750,34950,700400,35350
2004-09-14,35550,35850,34700,392600,35400
2004-09-15,35350,35450,34900,236200,35250
2004-09-16,34600,35000,34200,292600,34450
2004-09-17,34800,34800,33650,275000,33750
2004-09-20,34050,34650,33900,184500,34300
2004-09-21,34000,34500,34000,159800,34250
2004-09-22,34250,34700,33800,339800,34000
2004-09-23,33550,34550,33550,401800,34000
2004-09-24,34100,35700,34100,370900,34850
2004-09-27,null,null,null,null,null
2004-09-28,null,null,null,null,null
2004-09-29,null,null,null,null,null
2004-09-30,35000,35600,35000,230100,35100
2004-10-01,35000,35500,34550,240600,35500
2004-10-04,36050,37100,36050,731200,37100
2004-10-05,36800,37900,36550,468000,37500
2004-10-06,37500,38000,37000,421500,38000
2004-10-07,37950,37950,36250,354200,36900
2004-10-08,36000,37500,36000,422000,36850
2004-10-11,36050,36500,35400,336400,36000
2004-10-12,34200,34300,32200,1341800,32250
2004-10-13,32800,33200,32050,639900,32200
2004-10-14,32400,33100,31650,332100,32000
2004-10-15,31600,33250,31600,277000,32950
2004-10-18,33100,33750,32900,397700,33150
2004-10-19,34000,35000,33900,669000,34450
2004-10-20,34450,35550,34000,764300,34000
2004-10-21,33800,34650,32700,451800,33900
2004-10-22,33900,35150,33700,268000,34450
2004-10-25,33300,33650,33000,287300,33350
2004-10-26,33350,33500,32100,328700,32550
2004-10-27,32500,32500,30900,461000,31200
2004-10-28,31600,31900,30750,515700,31900
2004-10-29,30750,31200,30250,530400,31200
2004-11-01,31000,31550,29950,707400,30000
2004-11-02,30100,31450,30100,468800,31000
2004-11-03,31150,32350,30850,472200,32100
2004-11-04,32050,32050,31000,592800,31000
2004-11-05,31700,33300,31600,729800,32400
2004-11-08,33000,33400,32750,309700,32950
2004-11-09,32900,33000,32250,103400,33000
2004-11-10,32650,33450,32650,153200,33300
2004-11-11,33050,34100,32700,437100,33800
2004-11-12,34200,35050,34150,263400,34500
2004-11-15,34500,35700,34050,345900,34900
2004-11-16,34900,35000,34250,190200,34300
2004-11-17,34100,36700,34100,499400,35900
2004-11-18,36750,36850,35200,437300,35850
2004-11-19,35800,36000,34400,267800,35200
2004-11-22,34250,34650,34000,250500,34000
2004-11-23,34300,34600,33950,182200,34250
2004-11-24,34500,36650,34000,857800,36000
2004-11-25,36500,38400,36250,1273700,37400
2004-11-26,38000,38250,35000,677400,35850
2004-11-29,36800,37000,35550,520100,36400
2004-11-30,36200,36600,36000,183700,36300
2004-12-01,36050,37500,36050,334700,37000
2004-12-02,37700,38250,37250,289900,37650
2004-12-03,38450,38700,36900,257600,37150
2004-12-06,37150,37150,35950,219300,36350
2004-12-07,35750,35850,35000,352500,35500
2004-12-08,35000,36750,34950,427700,36750
2004-12-09,36500,36700,35650,644200,35650
2004-12-10,36000,36300,34300,266300,34900
2004-12-13,34100,35150,34100,149800,34450
2004-12-14,34900,35700,34750,254100,35700
2004-12-15,35500,37750,35500,378000,37500
2004-12-16,37500,38450,37400,584500,38200
2004-12-17,38200,38500,37550,211300,38400
2004-12-20,38200,40300,37900,517100,39700
2004-12-21,39650,40000,38750,345700,39700
2004-12-22,39000,39000,36800,792700,37500
2004-12-23,36950,37000,35800,508400,36400
2004-12-24,36600,37100,35500,253500,37100
2004-12-27,36500,37550,36000,262000,36600
2004-12-28,36200,36900,35950,194800,36500
2004-12-29,36100,38250,36100,318900,38100
2004-12-30,37700,39650,37500,268500,39000
2004-12-31,null,null,null,null,null
2005-01-03,38700,38750,37900,261500,38150
2005-01-04,37650,37650,36450,431800,36450
2005-01-05,36100,36700,35850,351100,36600
2005-01-06,36200,37150,35800,406300,36200
