Date,Open,High,Low,Volume,Close
2000-01-04,15500,16300,15400,93100,15900
2000-01-05,15900,16100,14450,239500,15200
2000-01-06,16000,16200,14500,210300,14700
2000-01-07,14500,16900,14500,382700,16900
2000-01-10,17600,19400,17400,624300,18700
2000-01-11,20000,21300,19500,919100,20650
2000-01-12,20650,20650,18300,209900,19000
2000-01-13,19000,19700,18200,211700,19050
2000-01-14,19700,19900,18100,99900,18200
2000-01-17,17700,18450,17600,119800,17700
2000-01-18,18150,19500,17900,236500,18500
2000-01-19,18150,18600,17550,127700,17800
2000-01-20,17700,18200,16450,95100,17600
2000-01-21,16800,17400,16350,89600,16500
2000-01-24,15900,16900,15350,550900,16150
2000-01-25,15600,16100,14900,185400,14900
2000-01-26,15500,15600,14700,685400,15600
2000-01-27,15700,17800,15400,503500,17400
2000-01-28,17300,18350,16800,298900,17400
2000-01-31,17300,17300,16900,95100,17200
2000-02-01,17500,18150,17300,98700,17900
2000-02-02,18000,18900,17700,107400,18600
2000-02-03,18400,18950,18000,119100,18700
2000-02-04,18700,18700,18700,0,18700
2000-02-07,18600,19450,18300,177200,18700
2000-02-08,18350,18900,17700,112400,18300
2000-02-09,18000,18450,18000,132600,18300
2000-02-10,18300,18350,17000,94000,17000
2000-02-11,17900,17900,16800,123800,17800
2000-02-14,18200,19500,16500,270500,16700
2000-02-15,16800,17650,16600,129100,17000
2000-02-16,17500,17800,16000,73600,17500
2000-02-17,16550,17950,16550,79900,17800
2000-02-18,17300,17500,16300,166500,16700
2000-02-21,15100,16400,15100,85400,15800
2000-02-22,15500,16200,15000,78600,15000
2000-02-23,15000,16400,14800,190000,15200
2000-02-24,15500,15900,15100,109800,15750
2000-02-25,15200,16100,15200,95100,15200
2000-02-28,15000,15850,15000,121200,15150
2000-02-29,15400,15550,15000,157500,15500
2000-03-01,15500,15500,15500,0,15500
2000-03-02,15600,16000,15400,192100,16000
2000-03-03,16500,16500,15100,133800,15600
2000-03-06,15950,16250,15500,273300,16000
2000-03-07,16000,16300,15500,171700,15550
2000-03-08,15500,15600,15200,127200,15500
2000-03-09,15650,15800,14500,330800,14500
2000-03-10,15450,15700,14900,284300,15200
2000-03-13,14800,15400,14700,170600,14750
2000-03-14,14500,15000,14200,139300,14300
2000-03-15,14200,14450,13550,192600,13600
2000-03-16,13900,14200,13600,156800,13800
2000-03-17,14400,15850,14400,777100,15500
2000-03-20,15300,15400,14300,159100,14500
