Date,Open,High,Low,Volume,Close
2000-01-04,34150.89844,39245.30078,34150.89844,271254,38207.60156
2000-01-05,38207.60156,38679.19922,36320.80078,268074,36320.80078
2000-01-06,36886.80078,37217,33018.89844,214438,33396.19922
2000-01-07,33679.19922,34717,33679.19922,260336,34717
2000-01-10,36792.5,39905.69922,35943.39844,789488,39905.69922
2000-01-11,40094.30078,40566,38207.60156,1006682,39056.60156
2000-01-12,37641.5,38207.60156,35471.69922,551518,35566
2000-01-13,36792.5,38679.19922,36132.10156,598794,37641.5
2000-01-14,38113.19922,38396.19922,36320.80078,311322,36367.89844
2000-01-17,35943.39844,37075.5,35377.39844,281218,36981.10156
2000-01-18,36132.10156,36367.89844,34669.80078,692286,36132.10156
2000-01-19,35377.39844,35471.69922,34245.30078,269664,34339.60156
2000-01-20,33396.19922,35283,32924.5,379374,33962.30078
2000-01-21,33490.60156,35188.69922,33207.60156,395168,35188.69922
2000-01-24,34434,34905.69922,33443.39844,399302,33490.60156
2000-01-25,33018.89844,33301.89844,31981.09961,337822,31981.09961
2000-01-26,32075.5,32924.5,29905.69922,550988,30660.40039
2000-01-27,30188.69922,33301.89844,29811.30078,733732,32075.5
2000-01-28,32169.80078,34339.60156,31698.09961,719104,33066
2000-01-31,32264.19922,36792.5,32122.59961,742954,36792.5
2000-02-01,37735.89844,38584.89844,35990.60156,649674,36462.30078
2000-02-02,36320.80078,41415.10156,36320.80078,1449550,40566
2000-02-03,41226.39844,45518.89844,40849.10156,1831150,44245.30078
2000-02-04,44245.30078,44245.30078,44245.30078,0,44245.30078
2000-02-07,42547.19922,44811.30078,41603.80078,934284,42452.80078
2000-02-08,42358.5,44245.30078,41509.39844,534240,42264.19922
2000-02-09,43113.19922,43113.19922,41556.60156,651052,42264.19922
2000-02-10,40849.10156,41509.39844,38207.60156,531696,39150.89844
2000-02-11,38773.60156,40471.69922,37264.19922,493324,38207.60156
2000-02-14,38113.19922,38113.19922,35943.39844,444988,36226.39844
2000-02-15,36226.39844,37641.5,35424.5,609500,35849.10156
2000-02-16,37358.5,40566,36415.10156,1298924,37547.19922
2000-02-17,37735.89844,37735.89844,35943.39844,407146,37358.5
2000-02-18,36037.69922,37075.5,35943.39844,414036,36132.10156
2000-02-21,36132.10156,36132.10156,33773.60156,344606,33773.60156
2000-02-22,33867.89844,35000,31886.80078,545794,32075.5
2000-02-23,33773.60156,36273.60156,32641.5,761186,33962.30078
2000-02-24,32924.5,33490.60156,32075.5,329130,32735.90039
2000-02-25,31792.5,33018.89844,31603.80078,345242,32358.5
2000-02-28,31226.40039,31603.80078,30707.5,369198,30707.5
2000-02-29,31226.40039,31981.09961,29669.80078,376406,30330.19922
2000-03-01,30330.19922,30330.19922,30330.19922,0,30330.19922
2000-03-02,29858.5,32452.80078,29858.5,445836,30849.09961
2000-03-03,31132.09961,31792.5,30283,367714,30943.40039
2000-03-06,31226.40039,33018.89844,30990.59961,558832,33018.89844
2000-03-07,32169.80078,32641.5,28066,449440,31509.40039
2000-03-08,30943.40039,32452.80078,30660.40039,427392,31132.09961
2000-03-09,31320.80078,31556.59961,30660.40039,422410,31132.09961
2000-03-10,31132.09961,31509.40039,30000,628686,30047.19922
2000-03-13,30047.19922,30660.40039,28207.5,588300,28584.90039
